Fecha_Analisis,sub_area,SST_mediana,Clorofila_NDCI_mediana,Batimetria_promedio,Semaforo_promedio
2026-01-01 a 2026-01-31,1.0,18.846932494822543,-0.011442836833962838,-62.192477163319325,1.0
2026-01-01 a 2026-01-31,2.0,18.486181111251668,0.028657914512445048,-91.434780921549,1.0
2026-01-01 a 2026-01-31,3.0,17.694792411455733,-0.035051868558661,-76.24724087433168,1.0
2026-01-01 a 2026-01-31,4.0,17.845736834435954,0.030335312538677547,-86.33401339054969,1.0
2026-01-01 a 2026-01-31,5.0,16.98918408755386,0.052284431709162985,-81.36362774329959,1.475056491976144
2026-01-01 a 2026-01-31,6.0,17.900611385735505,0.019962942809097186,-73.57546473148078,1.0
2026-01-01 a 2026-01-31,7.0,17.58626018223953,-0.028731378402734653,-96.95016991228253,1.329372493755109
2026-01-01 a 2026-01-31,8.0,16.83764816615258,0.009513392284104976,-101.67105999498725,1.665300122742453
2026-01-01 a 2026-01-31,9.0,15.468760113562404,0.016342948440874663,-133.44518011401905,1.8135115057629914
2026-01-01 a 2026-01-31,10.0,17.284007923432178,0.039385534097530144,-84.76050873183566,1.192944382180588
2026-01-01 a 2026-01-31,11.0,16.83746470495744,0.029578112354347794,-92.03629681871351,1.602498214684965
2026-01-01 a 2026-01-31,12.0,16.208643496492577,,-107.75237727029561,2.0
2026-01-01 a 2026-01-31,13.0,16.441915621314195,0.02147115976961147,-98.44528703778234,1.7138912224506297
2026-01-01 a 2026-01-31,14.0,15.817184141905157,-0.02257362257242479,-92.6734904929769,1.999722307201921
2026-01-01 a 2026-01-31,15.0,15.36115320826018,0.0429430510135608,-95.24820341154361,1.9962230181520364
2026-01-01 a 2026-01-31,16.0,14.924144074042278,,-99.0052226000165,2.0
